date,symbol,open,high,low,close,volume,openint,amount
2021-01-04,DFJ0,2432.5,2523.0,2423.5,2514.0,244709,207826,70660780000.0
2021-01-05,DFJ0,2512.5,2572.0,2512.5,2567.0,259353,210065,76785340000.0
2021-01-06,DFJ0,2570.5,2605.0,2523.0,2559.5,403313,211331,120477100000.0
2021-01-07,DFJ0,2557.0,2577.5,2530.5,2573.0,266491,202820,79322300000.0
2021-01-08,DFJ0,2571.5,2574.5,2504.0,2508.0,358916,200436,106150499999.99998
2021-01-11,DFJ0,2508.0,2518.0,2420.0,2440.5,381808,193617,109517500000.0
2021-01-12,DFJ0,2445.0,2445.0,2339.0,2379.5,401897,176143,111441500000.0
2021-01-13,DFJ0,2382.0,2414.0,2303.5,2326.5,349382,171591,96006260000.0
2021-01-14,DFJ0,2332.5,2368.5,2322.5,2354.5,219282,156175,59962099999.99999
2021-01-15,DFJ0,2381.0,2456.0,2380.0,2381.0,364495,174918,102747200000.0
2021-01-18,DFJ0,2368.5,2423.5,2359.5,2383.5,256763,162896,71459690000.0
2021-01-19,DFJ0,2382.5,2388.0,2287.0,2291.5,338091,176053,91671160000.0
2021-01-20,DFJ0,2298.0,2334.0,2282.5,2328.5,281966,165477,75994610000.0
2021-01-21,DFJ0,2333.0,2408.5,2319.5,2403.0,332436,185101,91422020000.0
2021-01-22,DFJ0,2408.0,2420.0,2357.0,2378.0,265596,172311,74017010000.0
2021-01-25,DFJ0,2368.0,2375.0,2311.5,2321.5,307999,170277,83995750000.0
2021-01-26,DFJ0,2317.0,2349.5,2246.5,2247.5,294303,170141,79062770000.0
2021-01-27,DFJ0,2257.0,2297.5,2243.0,2282.5,239958,154214,63443280000.0
2021-01-28,DFJ0,2273.5,2278.0,2220.5,2235.5,288774,169241,75570750000.0
2021-01-29,DFJ0,2226.5,2235.5,2172.5,2191.5,281733,155615,72445520000.0
2021-02-01,DFJ0,2201.0,2232.5,2181.5,2188.0,231044,156717,59554729999.99999
2021-02-02,DFJ0,2188.5,2197.5,2118.5,2124.5,248216,156000,62458830000.0
2021-02-03,DFJ0,2131.5,2174.5,2112.5,2138.5,254465,161911,63463180000.0
2021-02-04,DFJ0,2148.0,2194.0,2128.5,2189.5,283411,152572,71135370000.0
2021-02-05,DFJ0,2190.5,2217.0,2169.0,2189.0,245779,150482,62865240000.0
2021-02-08,DFJ0,2190.5,2251.0,2185.0,2230.0,212421,136293,54985609999.99999
2021-02-09,DFJ0,2232.5,2277.5,2219.5,2252.0,165869,129156,43548810000.0
2021-02-10,DFJ0,2251.5,2260.0,2211.5,2226.5,168340,119934,43830400000.0
2021-02-18,DFJ0,2297.5,2380.5,2280.0,2370.0,196420,139050,53364079999.99999
2021-02-19,DFJ0,2372.0,2385.0,2299.0,2326.5,200865,132647,54742910000.0
2021-02-22,DFJ0,2326.0,2346.0,2228.5,2245.5,272937,154169,72708460000.0
2021-02-23,DFJ0,2242.5,2254.5,2202.5,2208.5,210327,142363,54696410000.0
2021-02-24,DFJ0,2202.5,2217.0,2172.0,2212.5,221411,153486,56648280000.0
2021-02-25,DFJ0,2210.0,2288.5,2201.0,2252.5,273204,141614,71277680000.0
2021-02-26,DFJ0,2244.5,2249.0,2151.0,2172.0,260618,152405,66695580000.0
2021-03-01,DFJ0,2156.5,2215.0,2106.5,2126.5,300322,154599,75533510000.0
2021-03-02,DFJ0,2127.5,2199.5,2088.5,2188.5,287763,156853,71948480000.0
2021-03-03,DFJ0,2200.0,2202.5,2149.0,2162.0,262315,143947,66424320000.0
2021-03-04,DFJ0,2154.5,2160.0,2099.0,2133.5,258743,146746,64110509999.99999
2021-03-05,DFJ0,2106.5,2106.5,1996.5,2009.5,310016,154392,73477410000.0
2021-03-08,DFJ0,2010.0,2045.0,1978.5,2006.0,262189,154101,61415179999.99999
2021-03-09,DFJ0,2004.0,2022.0,1943.5,1948.5,250100,152575,57966070000.0
2021-03-10,DFJ0,1949.5,1995.5,1941.0,1984.5,227246,145212,52275110000.0
2021-03-11,DFJ0,1995.0,2036.5,1959.0,2019.5,247214,137334,57573330000.0
2021-03-12,DFJ0,1995.0,2018.0,1913.5,1925.5,275819,153853,63384850000.0
2021-03-15,DFJ0,1930.5,1954.5,1892.5,1909.5,255561,144130,57215039999.99999
2021-03-16,DFJ0,1905.5,1961.5,1900.0,1942.5,229667,143261,51687649999.99999
2021-03-17,DFJ0,1937.5,1993.0,1928.0,1991.0,224846,147128,51250580000.0
2021-03-18,DFJ0,1991.5,2028.5,1981.0,2003.5,250109,134665,58371379999.99999
2021-03-19,DFJ0,1989.5,2016.5,1915.0,1933.0,285929,145760,65746200000.0
2021-03-22,DFJ0,1929.0,1933.0,1824.0,1828.5,289560,151123,63069710000.0
2021-03-23,DFJ0,1831.5,1855.0,1810.5,1846.0,208907,143345,44664490000.0
2021-03-24,DFJ0,1846.5,1862.5,1800.0,1837.5,264929,141268,56557800000.0
2021-03-25,DFJ0,1843.5,1881.5,1821.5,1866.0,241417,136360,52118670000.0
2021-03-26,DFJ0,1857.5,1900.0,1847.0,1897.5,211626,131015,46084270000.0
2021-03-29,DFJ0,1901.5,2003.5,1894.5,1972.0,302409,144180,68833430000.0
2021-03-30,DFJ0,1973.5,1989.5,1931.0,1951.5,241860,123066,55106719999.99999
2021-03-31,DFJ0,1951.5,2009.0,1914.5,2002.5,290672,136082,66423280000.0
2021-04-01,DFJ0,2003.5,2014.0,1975.5,2008.5,189124,112214,43982230000.0
2021-04-02,DFJ0,2017.5,2056.0,2010.5,2047.0,235895,125387,56038430000.0
2021-04-06,DFJ0,2047.0,2096.5,2026.0,2035.0,167450,110996,40144590000.00001
2021-04-07,DFJ0,2030.0,2072.5,2001.5,2052.5,234127,119839,55640729999.99999
2021-04-08,DFJ0,2054.0,2066.0,2026.5,2051.5,172784,101160,41135030000.0
2021-04-09,DFJ0,2071.5,2100.5,2030.5,2030.5,220743,110144,53254849999.99999
2021-04-12,DFJ0,2020.5,2065.0,1987.5,2048.5,247516,101447,58446010000.0
2021-04-13,DFJ0,2070.5,2097.0,2052.0,2090.5,168101,92909,40610620000.0
2021-04-14,DFJ0,2096.5,2138.5,2072.5,2123.5,156880,95454,38545270000.0
2021-04-15,DFJ0,2123.0,2124.5,2065.5,2078.5,153421,82176,37397500000.0
2021-04-16,DFJ0,2085.0,2166.0,2081.5,2147.0,157977,112530,39892980000.0
2021-04-19,DFJ0,2141.0,2177.5,2122.0,2132.0,203555,131646,51756969999.99999
